Part,Color,Quantity
60581,72,13
60581,71,5
60581,47,1
60581,15,3
60581,0,8
47455,72,11
47455,0,20
87609,25,2
87609,15,10
87609,14,4
87609,2,2
87609,0,14
3029,72,7
3029,71,4
3029,15,4
3029,8,1
3029,2,2
3029,0,1
3626cpr0892,14,3
3626bpr0953,14,1
970c00pr0002,4,1
22961,308,4
22961,71,5
14418,71,92
3678bpr0023b,0,1
15210,0,4
46303,71,2
46303,27,2
46303,4,1
98381,15,1
973pr3573c01,0,1
12891pr0001,15,1
3626cpr1211,70,1
3626cpr2098,30,1
11233pr0001,0,1
27989,84,1
59225c02,4,1
3069bpr0128,0,2
11164pat01,182,1
11164pat01,46,1
11164pat01,41,1
11164pat01,35,1
11164pat01,34,1
11164pat01,33,1
11164pat01,0,1
3626cpr0282,14,8
92593,326,30
92593,320,2
92593,272,12
92593,72,55
92593,71,107
92593,27,4
92593,15,58
92593,0,12
43721,72,2
43721,15,1
24504,0,1
64292,14,2
64292,4,2
3834,80,1
60616a,47,10
60616a,41,3
60616a,40,2
87841,179,1
87841,14,2
87841,4,2
87841,0,2
22667,27,3
22667,26,7
22667,4,9
62791c01,25,1
3626cpr1307,179,1
3069bpr0004,0,1
11262pr0001,15,2
3068bpr0291,19,1
970c00pr0476,25,3
3626cpr1662,14,4
973pr2879c01,19,1
2904,0,8
3626cpr1827,14,1
973pr2754c01,14,1
6266,71,11
6266,15,106
6266,0,9
973pr3220c01,15,1
46667,72,4
46667,41,2
46667,0,2
3068bpr0016,15,1
16136,9999,2
17485,71,1
3741,2,20
11260pr0003,0,1
3702,71,8
3702,14,2
3702,4,3
3702,0,25
2479,0,8
48169,72,14
2423,326,106
2423,320,5
2423,31,7
2423,27,7
2423,15,100
2423,5,10
2423,2,29
11336,33,2
11336,4,2
973pr2392c01,72,8
98138pr0043,34,2
3044b,72,2
17349pr0001,1,1
3298,326,4
3298,321,1
3298,72,17
3298,71,13
3298,70,5
3298,25,11
3298,19,11
3298,15,6
3298,14,2
3298,4,8
3298,0,11
2654,182,10
2654,72,87
2654,71,58
2654,57,8
2654,52,1
