Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
"30265-1","Legends of Chima","Fire vs. Ice",2014,"Worriz' Fire Bike",1,31,,4.69,,5702015154949,,"",1,1.1300,1.6800,
"30274-1","Star Wars","Rebels",2015,"AT-DP",,65,,,,,,"",1,3.4000,1.5700,
"30275-1","Star Wars","Rebels",2015,"TIE Advanced Prototype",,47,,,,,673419233811,"",1,1.4000,2.0000,
"30280-1","The LEGO Movie","Promotional",2014,"The Piece of Resistance ",1,33,,,,,,"",2,3.9000,3.4900,
"30293-1","Ninjago","Tournament of Elements",2015,"Kai Drifter",1,43,,,,5702015356107,,"",1,0.9900,1.9500,
"30310-1","City","Arctic",2014,"Arctic Scout",1,40,,,,5702015154154,,"",1,1.9500,4.7800,
"30312-1","City","Construction",2015,"Demolition Driller",1,40,,,,5702015357647,673419235051,"",1,2.7500,2.2500,
"30315-1","City","Space",2015,"Space Utility Vehicle",1,37,,3.99,,5702015412575,,"",1,4.0000,2.9900,
"30350-1","City","Volcano Explorers",2016,"Volcano Jackhammer",1,53,,,,,673419251174,"",1,4.4500,,
"30374-1","Nexo Knights","Miscellaneous",2016,"The Lava Slinger",1,40,,,,,,"",3,2.0000,1.0000,
"30474-1","Creator","Seasonal",2016,"Reindeer",,77,,3.49,,,,"",1,3.9500,2.5800,
"30522-1","The LEGO Batman Movie","",2017,"Batman in the Phantom Zone",1,59,,,,,,"",1,3.2500,,
"31003-1","Creator","",2013,"Red Rotors",,145,9.99,14.99,17.99,5702014971950,673419189781,"",1,9.5400,7.9900,
"31010-1","Creator","",2013,"Treehouse",1,356,24.99,29.99,39.99,5702014971554,673419189682,"",1,29.9900,22.0000,
"31011-1","Creator","",2013,"Aviation Adventures",,618,49.99,59.99,79.99,5702014972025,673419189859,"",1,48.9500,36.0000,
"31015-1","Creator","",2014,"Emerald Express",,56,4.99,4.99,6.99,5702015120753,673419213059,"",3,5.0000,4.9900,
"31019-1","Creator","",2014,"Forest Animals",,272,17.99,19.99,24.99,5702015120906,673419209090,"",2,18.3800,13.4000,
"31022-1","Creator","",2014,"Turbo Quad",,186,17.99,24.99,29.99,5702015120944,673419209144,"",1,14.1500,15.1300,
"31025-1","Creator","",2014,"Mountain Hut",1,550,34.99,39.99,49.99,5702015120951,673419209151,"",1,32.5700,28.8200,
"31028-1","Creator","",2015,"Sea Plane",,53,4.99,4.99,6.99,5702015348096,673419229913,"",2,4.0000,2.5000,
"31029-1","Creator","",2015,"Cargo Heli",,132,9.99,9.99,12.99,5702015348089,673419229906,"",2,7.4200,,
"31031-1","Creator","",2015,"Rainforest Animals",,215,12.99,14.99,19.99,5702015348126,673419229944,"",1,12.1100,26.2000,
"31032-1","Creator","",2015,"Red Creatures",,221,12.99,14.99,19.99,5702015348119,673419229937,"",3,14.5000,10.9700,
"31041-1","Creator","",2016,"Construction Vehicles",,64,4.99,4.99,6.99,,673419246910,"",2,3.9400,4.2500,
"31043-1","Creator","",2016,"Chopper Transporter",,124,9.99,9.99,12.99,,673419246972,"",2,6.9800,,
"31050-1","Creator","",2016,"Corner Deli",2,467,27.99,39.99,49.99,5702015590044,673419246880,"",1,27.0000,23.1200,
"31065-1","Creator","",2017,"Park Street Townhouse",2,566,44.99,49.99,64.99,,673419266543,"",1,28.0000,39.1700,
"40034-1","Seasonal","Christmas",2012,"Christmas Train",,82,3.99,4.99,6.99,,673419174152,"",1,5.9900,9.0000,
"40052-1","Seasonal","Spring",2013,"Springtime Scene",2,88,6.99,7.99,9.99,,673419183765,"",1,9.9000,6.0000,
"40067-1","Promotional","Monthly Mini Model Build",2013,"Crab",,37,0,0,,,,"",2,6.8800,,
"40084-1","HERO Factory","",2013,"Accessory Pack",,6,,,,,,"",1,1.0200,2.0000,
"40106-1","Seasonal","Christmas",2014,"Toy Workshop",2,107,,,,,673419212588,"",1,16.0500,12.9900,
"40107-1","Seasonal","Christmas",2014,"Winter Skating Scene",2,129,,,,,673419212595,"",1,15.2600,8.4400,
"40108-1","Creator","",2014,"Balloon Cart",2,66,,4.99,,,673419212076,"",1,18.0000,16.0000,
"40121-1","Seasonal","Easter",2015,"Painting Easter Eggs",2,153,8.49,9.99,11.99,5702015355452,,"",1,10.5300,15.0000,
"40123-1","Seasonal","Thanksgiving",2015,"Thanksgiving Feast",2,158,8.49,9.99,11.99,5702015355674,,"",1,12.0000,12.0000,
"40138-1","Seasonal","Christmas",2015,"Christmas Train",,233,0,0,,,,"",1,0.0400,12.5900,
"40140-1","Creator","",2015,"Flower Cart",1,71,0.01,4.99,,5702015355483,,"",1,10.5000,11.1900,
"41046-1","Friends","Animals series 5",2014,"Brown Bear's River",,37,2.99,3.99,5.99,,673419211918,"",1,3.2000,3.0000,
"41072-1","Elves","",2015,"Naida's Spa Secret",1,249,17.99,19.99,24.99,5702015352758,673419231442,"",1,29.9900,25.0000,
"41074-1","Elves","",2015,"Azari and the Magical Bakery",2,324,24.99,29.99,39.99,5702015352772,673419231664,"",1,28.3300,26.0000,
"41075-1","Elves","",2015,"The Elves' Treetop Hideaway",3,505,39.99,49.99,59.99,5702015352789,673419231671,"",1,37.8000,35.0000,
"41112-1","Friends","Party",2016,"Party Cakes",,50,3.99,4.99,6.99,,673419247481,"",1,4.2200,4.7700,
"41174-1","Elves","",2016,"The Starlight Inn",2,343,24.99,29.99,39.99,,673419249355,"",1,23.3900,22.4900,
"41500-1","Mixels","Series 1",2014,"Flain",,58,2.99,4.99,5.99,,673419207010,"",1,23.0000,8.5000,
"41501-1","Mixels","Series 1",2014,"Vulk",,69,2.99,4.99,5.99,,673419207027,"",1,7.3500,4.0000,
"41502-1","Mixels","Series 1",2014,"Zorch",,45,2.99,4.99,5.99,,673419207034,"",1,8.0000,6.9200,
"41503-1","Mixels","Series 1",2014,"Krader",,66,2.99,4.99,5.99,,673419207041,"",1,9.4200,7.0000,
"41504-1","Mixels","Series 1",2014,"Seismo",,50,2.99,4.99,5.99,,673419209854,"",1,13.9600,7.5000,
"41505-1","Mixels","Series 1",2014,"Shuff",,51,2.99,4.99,5.99,,673419209861,"",1,7.2000,5.5000,
"41506-1","Mixels","Series 1",2014,"Teslo",,54,2.99,4.99,5.99,,673419209878,"",1,0.2900,12.9500,
"41507-1","Mixels","Series 1",2014,"Zaptor",,61,2.99,4.99,5.99,,673419209885,"",1,9.3200,11.9500,
"41508-1","Mixels","Series 1",2014,"Volectro",,70,2.99,4.99,5.99,,673419209892,"",1,17.0000,19.9500,
"41509-1","Mixels","Series 2",2014,"Slumbo",,61,2.99,4.99,5.99,,673419209908,"",1,6.0200,4.5000,
"41510-1","Mixels","Series 2",2014,"Lunk",,51,2.99,4.99,5.99,,673419209915,"",1,5.9800,5.0000,
"41511-1","Mixels","Series 2",2014,"Flurr",,46,2.99,4.99,5.99,,673419209922,"",1,8.4100,9.0000,
"41512-1","Mixels","Series 2",2014,"Chomly",,68,2.99,4.99,5.99,,673419209939,"",1,5.6200,6.2500,
"41513-1","Mixels","Series 2",2014,"Gobba",,57,2.99,4.99,5.99,,673419209946,"",1,5.4700,6.2500,
"41514-1","Mixels","Series 2",2014,"Jawg",,61,2.99,4.99,5.99,,673419209953,"",1,7.3200,8.5000,
"41515-1","Mixels","Series 2",2014,"Kraw",,70,2.99,4.99,5.99,,673419209960,"",1,7.4000,4.0000,
"41516-1","Mixels","Series 2",2014,"Tentro",,69,2.99,4.99,5.99,,673419209977,"",1,10.6700,7.5000,
"41517-1","Mixels","Series 2",2014,"Balk",,68,2.99,4.99,5.99,,673419209984,"",1,5.7800,4.0000,
"41518-1","Mixels","Series 3",2014,"Glomp",,64,2.99,4.99,5.99,,673419209991,"",1,3.9900,2.4900,
"41519-1","Mixels","Series 3",2014,"Glurt",,62,2.99,4.99,5.99,,673419210003,"",1,4.4400,2.7500,
"41520-1","Mixels","Series 3",2014,"Torts",,48,2.99,4.99,5.99,,673419210041,"",1,3.4500,,
