Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
"71009-7","Collectable Minifigures","The Simpsons series 2",2015,"Comic Book Guy",1,5,2.49,3.99,,,,"",1,,,
"71009-8","Collectable Minifigures","The Simpsons series 2",2015,"Martin",1,4,2.49,3.99,,,,"",1,,,
"71009-9","Collectable Minifigures","The Simpsons series 2",2015,"Professor Frink",1,4,2.49,3.99,,,,"",1,,,
"71009-10","Collectable Minifigures","The Simpsons series 2",2015,"Hans Moleman",1,4,2.49,3.99,,,,"",1,,,
"71009-11","Collectable Minifigures","The Simpsons series 2",2015,"Selma",1,5,2.49,3.99,,,,"",1,,,
"71009-12","Collectable Minifigures","The Simpsons series 2",2015,"Patty",1,5,2.49,3.99,,,,"",1,,,
"71009-13","Collectable Minifigures","The Simpsons series 2",2015,"Groundskeeper Willie",1,4,2.49,3.99,,,,"",1,,,
"71009-14","Collectable Minifigures","The Simpsons series 2",2015,"Edna Krabappel",1,6,2.49,3.99,,,,"",1,,,
"71009-15","Collectable Minifigures","The Simpsons series 2",2015,"Smithers",1,5,2.49,3.99,,,,"",1,,,
"71009-16","Collectable Minifigures","The Simpsons series 2",2015,"Dr Hibbert",1,4,2.49,3.99,,,,"",1,,,
"71010-1","Collectable Minifigures","Series 14",2015,"Wolf Guy",1,5,2.49,3.99,,,,"",2,67.8400,47.9900,
"71010-2","Collectable Minifigures","Series 14",2015,"Zombie Pirate",1,6,2.49,3.99,,,,"",1,,,
"71010-3","Collectable Minifigures","Series 14",2015,"Monster Scientist",1,5,2.49,3.99,,,,"",1,,,
"71010-4","Collectable Minifigures","Series 14",2015,"Wacky Witch",1,7,2.49,3.99,,,,"",1,,,
"71010-5","Collectable Minifigures","Series 14",2015,"Plant Monster",1,6,2.49,3.99,,,,"",1,,,
"71010-6","Collectable Minifigures","Series 14",2015,"Fly Monster",1,4,2.49,3.99,,,,"",1,,,
"71010-7","Collectable Minifigures","Series 14",2015,"Spectre",1,6,2.49,3.99,,,,"",1,,,
"71010-8","Collectable Minifigures","Series 14",2015,"Zombie Cheerleader",1,6,2.49,3.99,,,,"",1,,,
"71010-9","Collectable Minifigures","Series 14",2015,"Tiger Woman",1,5,2.49,3.99,,,,"",1,,,
"71010-10","Collectable Minifigures","Series 14",2015,"Gargoyle",1,5,2.49,3.99,,,,"",2,,,
"71010-11","Collectable Minifigures","Series 14",2015,"Skeleton Guy",1,5,2.49,3.99,,,,"",1,,,
"71010-12","Collectable Minifigures","Series 14",2015,"Monster Rocker",1,5,2.49,3.99,,,,"",1,,,
"71010-13","Collectable Minifigures","Series 14",2015,"Zombie Businessman",1,6,2.49,3.99,,,,"",1,,,
"71010-14","Collectable Minifigures","Series 14",2015,"Banshee",1,4,2.49,3.99,,,,"",1,,,
"71010-15","Collectable Minifigures","Series 14",2015,"Square Foot",1,4,2.49,3.99,,,,"",2,,,
"71010-16","Collectable Minifigures","Series 14",2015,"Spider Lady",1,7,2.49,3.99,,,,"",1,,,
"71011-1","Collectable Minifigures","Series 15",2016,"Farmer",1,6,2.49,3.99,,,673419249423,"",1,3.1300,44.5000,
"71011-2","Collectable Minifigures","Series 15",2016,"Astronaut",1,8,2.49,3.99,,,673419249423,"",1,,,
"71011-3","Collectable Minifigures","Series 15",2016,"Frightening Knight",1,7,2.49,3.99,,,673419249423,"",1,,,
"71011-4","Collectable Minifigures","Series 15",2016,"Clumsy Guy",1,6,2.49,3.99,,,673419249423,"",1,,,
"71011-5","Collectable Minifigures","Series 15",2016,"Tribal Woman",1,6,2.49,3.99,,,673419249423,"",1,,,
"71011-6","Collectable Minifigures","Series 15",2016,"Flying Warrior",1,10,2.49,3.99,,,673419249423,"",1,,,
"71011-7","Collectable Minifigures","Series 15",2016,"Faun",1,5,2.49,3.99,,,673419249423,"",1,,,
"71011-8","Collectable Minifigures","Series 15",2016,"Animal Control Officer",1,6,2.49,3.99,,,673419249423,"",1,,,
"71011-9","Collectable Minifigures","Series 15",2016,"Janitor",1,6,2.49,3.99,,,673419249423,"",1,,,
"71011-10","Collectable Minifigures","Series 15",2016,"Ballerina",1,5,2.49,3.99,,,673419249423,"",1,,,
"71011-11","Collectable Minifigures","Series 15",2016,"Laser Mech",1,8,2.49,3.99,,,673419249423,"",1,,,
"71011-12","Collectable Minifigures","Series 15",2016,"Kendo Fighter",1,6,2.49,3.99,,,673419249423,"",1,,,
"71011-13","Collectable Minifigures","Series 15",2016,"Shark Suit Guy",1,4,2.49,3.99,,,673419249423,"",1,,,
"71011-14","Collectable Minifigures","Series 15",2016,"Wrestling Champion",1,5,2.49,3.99,,,673419249423,"",1,,,
"71011-15","Collectable Minifigures","Series 15",2016,"Jewel Thief",1,7,2.49,3.99,,,673419249423,"",1,,,
"71011-16","Collectable Minifigures","Series 15",2016,"Queen",1,7,2.49,3.99,,,673419249423,"",1,,,
"71012-1","Collectable Minifigures","Disney",2016,"Stitch",1,3,2.49,3.99,,,673419249430,"",1,3.0000,4.5000,
"71012-2","Collectable Minifigures","Disney",2016,"Alien",1,3,2.49,3.99,,,673419249430,"",1,,,
"71012-3","Collectable Minifigures","Disney",2016,"Buzz Lightyear",1,7,2.49,3.99,,,673419249430,"",1,,,
"71012-4","Collectable Minifigures","Disney",2016,"Aladdin",1,5,2.49,3.99,,,673419249430,"",1,,,
"71012-5","Collectable Minifigures","Disney",2016,"Genie",1,6,2.49,3.99,,,673419249430,"",1,,,
"71012-6","Collectable Minifigures","Disney",2016,"Maleficent",1,9,2.49,3.99,,,673419249430,"",1,,,
"71012-7","Collectable Minifigures","Disney",2016,"Alice",1,7,2.49,3.99,,,673419249430,"",1,,,
"71012-8","Collectable Minifigures","Disney",2016,"Cheshire Cat",1,4,2.49,3.99,,,673419249430,"",1,,,
"71012-9","Collectable Minifigures","Disney",2016,"Daisy Duck",1,5,2.49,3.99,,,673419249430,"",1,,,
"71012-10","Collectable Minifigures","Disney",2016,"Donald Duck",1,5,2.49,3.99,,,673419249430,"",1,,,
"71012-11","Collectable Minifigures","Disney",2016,"Minnie Mouse",1,5,2.49,3.99,,,673419249430,"",1,,,
"71012-12","Collectable Minifigures","Disney",2016,"Mickey Mouse",1,3,2.49,3.99,,,673419249430,"",1,,,
"71012-13","Collectable Minifigures","Disney",2016,"Mr. Incredible",1,5,2.49,3.99,,,673419249430,"",1,,,
"71012-14","Collectable Minifigures","Disney",2016,"Syndrome",1,6,,3.99,,,673419249430,"",1,,,
"71012-15","Collectable Minifigures","Disney",2016,"Peter Pan",1,6,2.49,3.99,,,673419249430,"",1,,,
"71012-16","Collectable Minifigures","Disney",2016,"Captain Hook",1,5,2.49,3.99,,,673419249430,"",1,,,
"71012-17","Collectable Minifigures","Disney",2016,"Ursula",1,5,2.49,3.99,3.99,,673419249430,"",1,,,
"71012-18","Collectable Minifigures","Disney",2016,"Ariel",1,6,2.49,3.99,,,673419249430,"",1,,,
"71013-1","Collectable Minifigures","Series 16",2016,"Ice Queen",1,11,2.49,3.99,,,673419249553,"",1,1.9500,42.5000,
"71013-2","Collectable Minifigures","Series 16",2016,"Desert Warrior",1,5,2.49,3.99,,,673419249553,"",1,,,
"71013-3","Collectable Minifigures","Series 16",2016,"Cyborg",1,7,2.49,3.99,,,673419249553,"",1,,,
"71013-4","Collectable Minifigures","Series 16",2016,"Cute Little Devil",1,9,2.49,3.99,,,673419249553,"",1,,,
"71013-5","Collectable Minifigures","Series 16",2016,"Spooky Boy",1,6,2.49,3.99,,,673419249553,"",1,,,
"71013-6","Collectable Minifigures","Series 16",2016,"Hiker",1,7,2.49,3.99,,,673419249553,"",1,,,
"71013-7","Collectable Minifigures","Series 16",2016,"Wildlife Photographer",1,7,2.49,3.99,,,673419249553,"",1,,,
"71013-8","Collectable Minifigures","Series 16",2016,"Kickboxer",1,6,2.49,3.99,,,673419249553,"",1,,,
"71013-9","Collectable Minifigures","Series 16",2016,"Scallywag Pirate",1,6,2.49,3.99,,,673419249553,"",1,,,
"71013-10","Collectable Minifigures","Series 16",2016,"Penguin Boy",1,6,2.49,3.99,,,673419249553,"",1,,,
"71013-11","Collectable Minifigures","Series 16",2016,"Rogue",1,6,2.49,3.99,,,673419249553,"",1,,,
"71013-12","Collectable Minifigures","Series 16",2016,"Dog Show Winner",1,6,2.49,3.99,,,673419249553,"",1,,,
"71013-13","Collectable Minifigures","Series 16",2016,"Mariachi",1,6,2.49,3.99,,,673419249553,"",1,,,
"71013-14","Collectable Minifigures","Series 16",2016,"Spy",1,8,2.49,3.99,,,673419249553,"",1,,,
"71013-15","Collectable Minifigures","Series 16",2016,"Banana Guy",1,4,2.49,3.99,,,673419249553,"",1,,,
"71013-16","Collectable Minifigures","Series 16",2016,"Babysitter",2,6,2.49,3.99,3.99,,673419249553,"",1,,,
"71017-1","Collectable Minifigures","The LEGO Batman Movie",2017,"Lobster-Lovin' Batman",1,6,,,,,,"",1,3.1600,,
"71017-2","Collectable Minifigures","The LEGO Batman Movie",2017,"Glam Metal Batman",1,7,,,,,,"",1,,,
"71017-3","Collectable Minifigures","The LEGO Batman Movie",2017,"Fairy Batman",1,7,,,,,,"",1,,,
"71017-4","Collectable Minifigures","The LEGO Batman Movie",2017,"Clan of the Cave Batman",1,6,,,,,,"",1,,,
"71017-5","Collectable Minifigures","The LEGO Batman Movie",2017,"Vacation Batman",1,7,,,,,,"",1,,,
"71017-6","Collectable Minifigures","The LEGO Batman Movie",2017,"Barbara Gordon",1,7,,,,,,"",1,,,
"71017-7","Collectable Minifigures","The LEGO Batman Movie",2017,"Commissioner Gordon",1,6,,,,,,"",1,,,
"71017-8","Collectable Minifigures","The LEGO Batman Movie",2017,"Arkham Asylum Joker",1,5,,,,,,"",1,,,
"71017-9","Collectable Minifigures","The LEGO Batman Movie",2017,"Dick Grayson",1,6,,,,,,"",1,,,
"71017-10","Collectable Minifigures","The LEGO Batman Movie",2017,"Pink Power Batgirl",1,7,,,,,,"",1,,,
"71017-11","Collectable Minifigures","The LEGO Batman Movie",2017,"Red Hood",1,8,,,,,,"",1,,,
"71017-12","Collectable Minifigures","The LEGO Batman Movie",2017,"Eraser",1,5,,,,,,"",1,,,
"71017-13","Collectable Minifigures","The LEGO Batman Movie",2017,"Nurse Harley Quinn",1,6,,,,,,"",1,,,
"71017-14","Collectable Minifigures","The LEGO Batman Movie",2017,"Orca",1,4,,,,,,"",1,,,
"71017-15","Collectable Minifigures","The LEGO Batman Movie",2017,"Zodiac Master",1,5,,,,,,"",1,,,
"71017-16","Collectable Minifigures","The LEGO Batman Movie",2017,"Catman",1,8,,,,,,"",1,,,
"71017-17","Collectable Minifigures","The LEGO Batman Movie",2017,"March Harriet",1,5,,,,,,"",1,,,
"71017-18","Collectable Minifigures","The LEGO Batman Movie",2017,"Calculator",1,7,,,,,,"",1,,,
"71017-19","Collectable Minifigures","The LEGO Batman Movie",2017,"King Tut",1,7,,,,,,"",1,,,
"71017-20","Collectable Minifigures","The LEGO Batman Movie",2017,"Mime",1,6,,,,,,"",1,,,
"71018-1","Collectable Minifigures","Series 17",2017,"Professional Surfer",1,5,,,,,,"",1,3.4600,,
"71018-2","Collectable Minifigures","Series 17",2017,"Circus Strong Man",1,5,,,,,,"",1,,,
"71018-3","Collectable Minifigures","Series 17",2017,"Gourmet Chef",1,6,,,,,,"",1,,,
"71018-4","Collectable Minifigures","Series 17",2017,"Corn Cob Guy",1,4,,,,,,"",1,,,
"71018-5","Collectable Minifigures","Series 17",2017,"Veterinarian",1,5,,,,,,"",1,,,
"71018-6","Collectable Minifigures","Series 17",2017,"Hot Dog Man",1,7,,,,,,"",1,,,
"71018-7","Collectable Minifigures","Series 17",2017,"Butterfly Girl",1,9,,,,,,"",1,,,
"71018-8","Collectable Minifigures","Series 17",2017,"Roman Gladiator",1,5,,,,,,"",1,,,
"71018-9","Collectable Minifigures","Series 17",2017,"Connoisseur",1,6,,,,,,"",1,,,
"71018-10","Collectable Minifigures","Series 17",2017,"Battle Dwarf",1,8,,,,,,"",3,,,
"71018-11","Collectable Minifigures","Series 17",2017,"Retro Spaceman",1,6,,,,,,"",1,,,
"71018-12","Collectable Minifigures","Series 17",2017,"Yuppie",1,7,,,,,,"",1,,,
"71018-13","Collectable Minifigures","Series 17",2017,"Rocket Boy",1,6,,,,,,"",1,,,
"71018-14","Collectable Minifigures","Series 17",2017,"Dance Instructor",1,6,,,,,,"",1,,,
"71018-15","Collectable Minifigures","Series 17",2017,"Elf Girl",1,6,,,,,,"",1,,,
"71018-16","Collectable Minifigures","Series 17",2017,"Highwayman",1,8,2.99,3.99,3.99,,,"",1,,,
"71019-1","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Kai Kendo",,7,,,,,,"",1,88.4800,,
"71019-2","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Spinjitzu Training Nya",,6,,,,,,"",1,,,
"71019-3","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Lloyd",,9,,,,,,"",1,,,
"71019-4","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Master Wu",,8,,,,,,"",1,,,
"71019-5","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Garmadon",,7,,,,,,"",1,,,
"71019-6","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Jay Walker",,9,,,,,,"",1,,,
"71019-7","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Lloyd Garmadon",,6,,,,,,"",2,,,
"71019-8","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Cole",,5,,,,,,"",1,,,
"71019-9","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Misako",,5,,,,,,"",1,,,
"71019-10","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Zane",1,5,,,,,,"",1,,,
"71019-11","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Shark Army General #1",1,7,,,,,,"",1,,,
"71019-12","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Shark Army Octopus",1,8,,,,,,"",1,,,
"71019-13","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Shark Army Angler",1,7,,,,,,"",1,,,
"71019-14","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Shark Army Great White",1,6,,,,,,"",1,,,
"71019-15","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Flashback Garmadon",1,8,,,,,,"",1,,,
"71019-16","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Volcano Garmadon",1,7,,,,,,"",1,,,
"71019-17","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Gong & Guitar Rocker",1,6,,,,,,"",1,,,
"71019-18","Collectable Minifigures","The LEGO Ninjago Movie",2017,"GPL Tech",1,6,,,,,,"",1,,,
"71019-19","Collectable Minifigures","The LEGO Ninjago Movie",2017,"Sushi Chef",1,8,,,,,,"",1,,,
"71019-20","Collectable Minifigures","The LEGO Ninjago Movie",2017,"N-POP Girl",1,6,,,,,,"",1,,,
"71173-1","Dimensions","Starter Pack",2015,"Starter Pack: Xbox 360",,267,89.99,59.99,87.99,,,"",1,35.3900,,
"71245-1","Dimensions","Level Pack",2016,"Adventure Time Level Pack",1,102,29.99,29.99,29.99,,,"",1,20.7000,,
"71342-1","Dimensions","Promotional",2016,"Green Arrow",1,7,,,,,,"",1,15.0000,23.5900,
"75000-1","Star Wars","Episode II",2013,"Clone Troopers vs. Droidekas",4,124,11.99,12.99,15.99,5702014974937,673419191579,"",1,18.5600,8.0000,
"75001-1","Star Wars","The Old Republic",2013,"Republic Troopers vs. Sith Troopers",4,63,11.99,12.99,15.99,5702014974913,673419191562,"",1,14.9900,9.9900,
"75002-1","Star Wars","The Clone Wars",2013,"AT-RT",4,222,19.99,19.99,24.99,5702014974906,673419191555,"",1,19.9900,17.1800,
"75003-1","Star Wars","Episode VI",2013,"A-wing Starfighter",3,177,24.99,24.99,29.99,5702014974890,673419191548,"",1,32.1700,21.2000,
"75006-1","Star Wars","Planet Set",2013,"Jedi Starfighter & Planet Kamino",1,61,9.99,9.99,12.99,5702014974241,673419191296,"",1,11.6400,7.0000,
"75007-1","Star Wars","Planet Set",2013,"Republic Assault Ship & Planet Coruscant",1,74,9.99,9.99,12.99,5702014974258,673419191302,"",1,10.8000,7.9300,
"75008-1","Star Wars","Planet Set",2013,"TIE Bomber & Asteroid Field",1,60,9.99,9.99,12.99,5702014974265,673419191319,"",1,10.0900,7.3700,
"75013-1","Star Wars","The Clone Wars",2013,"Umbaran MHC (Mobile Heavy Cannon)",4,493,49.99,49.99,64.99,5702014974852,,"",1,35.0000,18.0000,
"75015-1","Star Wars","Episode II",2013,"Corporate Alliance Tank Droid",3,271,19.99,19.99,24.99,5702014974838,673419191487,"",1,32.8600,20.0000,
"75016-1","Star Wars","Episode II",2013,"Homing Spider Droid",4,295,29.99,29.99,39.99,5702014974821,673419191470,"",1,28.0000,19.9500,
"75030-1","Star Wars","MicroFighters",2014,"Millennium Falcon",1,94,8.99,9.99,12.99,5702015121019,673419209212,"",1,16.5000,13.5000,
"75031-1","Star Wars","MicroFighters",2014,"TIE Interceptor",1,92,8.99,9.99,12.99,5702015121026,673419209229,"",1,11.1400,8.0000,
"75032-1","Star Wars","MicroFighters",2014,"X-Wing Fighter",1,97,8.99,9.99,12.99,5702015121033,673419209236,"",1,10.0000,7.9900,
"75034-1","Star Wars","Episode IV",2014,"Death Star Troopers",4,102,11.99,12.99,15.99,5702015121088,673419209281,"",1,16.1700,7.9500,
"75035-1","Star Wars","Episode III",2014,"Kashyyyk Troopers",4,99,11.99,12.99,15.99,5702015121101,673419209304,"",1,17.4800,12.7700,
"75042-1","Star Wars","Episode III",2014,"Droid Gunship",4,439,44.99,49.99,59.99,5702015119542,673419210065,"",1,45.1700,39.9500,
"75048-1","Star Wars","Rebels",2014,"The Phantom",2,234,19.99,24.99,29.99,5702015122399,673419210119,"",1,33.0000,20.0000,
"75049-1","Star Wars","Episode V",2014,"Snowspeeder",3,278,34.99,29.99,39.99,5702015122405,673419210126,"",1,40.0000,33.3400,
"75050-1","Star Wars","Episode VI",2014,"B-Wing",3,448,49.99,49.99,59.99,5702015122412,673419210133,"",1,34.9900,44.9500,
"75053-1","Star Wars","Rebels",2014,"The Ghost",4,929,69.99,89.99,109.99,5702015122443,673419210263,"",1,112.0000,125.0000,
"75074-1","Star Wars","MicroFighters",2015,"Snowspeeder",1,97,8.99,9.99,12.99,5702015349109,673419230278,"",1,7.0000,5.0000,
"75075-1","Star Wars","MicroFighters",2015,"AT-AT",1,88,8.99,9.99,12.99,5702015349116,673419230285,"",1,8.8000,7.5500,
"75079-1","Star Wars","Legends",2015,"Shadow Troopers",4,95,11.99,12.99,15.99,5702015351140,673419230124,"",1,6.0000,11.0000,
"75082-1","Star Wars","Rebels",2015,"TIE Advanced Prototype",3,355,39.99,39.99,49.99,5702015351157,673419230131,"",1,20.0000,29.0000,
"75099-1","Star Wars","The Force Awakens",2015,"Rey's Speeder",2,193,19.99,19.99,24.99,5702015352611,673419231572,"",1,12.0000,7.5000,
"75108-1","Star Wars","Buildable Figures",2015,"Clone Commander Cody",,82,14.99,19.99,24.99,,673419239783,"",1,8.8000,8.5500,
"75111-1","Star Wars","Buildable Figures",2015,"Darth Vader",,160,24.99,29.99,39.99,,673419239813,"",1,14.0000,20.0000,
"75112-1","Star Wars","Buildable Figures",2015,"General Grievous",,186,29.99,34.99,44.99,,673419239820,"",1,7.4900,14.9900,
"75113-1","Star Wars","Buildable Figures",2016,"Rey",,84,14.99,19.99,24.99,,673419249058,"",1,8.0000,8.8100,
"75114-1","Star Wars","Buildable Figures",2016,"First Order Stormtrooper",,81,14.99,19.99,24.99,,673419248143,"",1,9.0000,3.9400,
"75117-1","Star Wars","Buildable Figures",2016,"Kylo Ren",,86,19.99,24.99,29.99,,673419248112,"",1,13.0000,10.0000,
"75118-1","Star Wars","Buildable Figures",2016,"Captain Phasma",,82,19.99,24.99,29.99,,673419248105,"",1,9.5500,4.7300,
"75120-1","Star Wars","Buildable Figures",2016,"K-2SO",,169,19.99,24.99,29.99,,673419248082,"",1,7.9500,10.5000,
"75147-1","Star Wars","Original Content",2016,"StarScavenger",4,558,54.99,49.99,59.99,,673419248297,"",1,21.0000,,
"75161-1","Star Wars","MicroFighters",2017,"TIE Striker",1,88,8.99,9.99,12.99,,673419265195,"",1,7.0000,,
"76000-1","DC Comics Super Heroes","Batman",2013,"Arctic Batman vs. Mr. Freeze: Aquaman on Ice",3,198,19.99,19.99,24.99,5702014967144,673419190381,"",1,26.9900,5.0000,
"76002-1","DC Comics Super Heroes","DC Extended Universe",2013,"Superman Metropolis Showdown",2,119,11.99,12.99,15.99,5702014972674,673419190404,"",1,7.5000,10.0000,
"76004-1","Marvel Super Heroes","Ultimate Spider-Man",2013,"Spider-Man: Spider-Cycle Chase",3,237,19.99,19.99,24.99,5702014972698,673419190428,"",1,24.5900,18.0000,
"76005-1","Marvel Super Heroes","Ultimate Spider-Man",2013,"Spider-Man: Daily Bugle Showdown",5,476,39.99,49.99,59.99,5702014972704,673419190435,"",1,46.7000,39.2900,
"76006-1","Marvel Super Heroes","Iron Man 3",2013,"Iron Man: Extremis Sea Port Battle ",3,195,19.99,19.99,24.99,5702014972711,673419190442,"",1,24.5900,12.4800,
"76007-1","Marvel Super Heroes","Iron Man 3",2013,"Iron Man: Malibu Mansion Attack",5,364,34.99,39.99,49.99,5702014972728,673419190459,"",1,46.5000,32.0000,
"76008-1","Marvel Super Heroes","Iron Man 3",2013,"Iron Man vs. The Mandarin: Ultimate Showdown",2,91,11.99,12.99,15.99,5702015031820,673419200370,"",1,15.5000,12.5500,
"76011-1","DC Comics Super Heroes","Batman",2014,"Batman: Man-Bat Attack",3,184,19.99,19.99,24.99,5702015128056,673419212502,"",1,18.9700,15.0000,
"76014-1","Marvel Super Heroes","Ultimate Spider-Man",2014,"Spider-Trike vs. Electro",2,70,11.99,12.99,15.99,5702015128780,673419212533,"",1,15.1700,4.9500,
"76031-1","Marvel Super Heroes","Avengers: Age of Ultron",2015,"The Hulk Buster Smash",4,248,29.99,29.99,39.99,5702015354011,673419231930,"",1,22.5200,15.0000,
"76063-1","DC Comics Super Heroes","Mighty Micros",2016,"Mighty Micros: The Flash vs. Captain Cold",2,88,8.99,9.99,12.99,,673419250535,"",1,6.0900,6.7500,
"79010-1","The Hobbit","An Unexpected Journey",2012,"The Goblin King Battle",8,841,79.99,99.99,129.99,5702014961302,673419188272,"",1,115.2600,60.0000,
"79012-1","The Hobbit","The Desolation of Smaug",2013,"Mirkwood Elf Army ",6,276,29.99,29.99,34.99,5702015079075,673419204026,"",2,45.0000,22.2900,
"79016-1","The Hobbit","The Battle of the Five Armies",2014,"Attack on Lake-town",5,313,34.99,29.99,34.99,5702015128001,673419212458,"",1,21.8100,28.9500,
"79100-1","Teenage Mutant Ninja Turtles","TV Series",2013,"Kraang Lab Escape",2,90,9.99,12.99,15.99,5702014972452,673419190374,"",1,10.0000,7.5000,
"88002-1","Power Functions","Trains",2011,"Train Motor",,7,11.99,13.99,19.99,,673419148290,"",2,20.1100,11.4200,
"88004-1","Power Functions","Accessories",2013,"Servo Motor",,1,20.99,24.99,29.99,,673419200844,"",2,21.7400,22.0000,
"850908-1","Gear","Key Chains/Legends of Chima",2014,"Legends of Chima Rogon Key Chain",,,2.99,4.99,5.49,,,"",1,,,
"850998-1","Gear","Key Chains/Star Wars",2014,"Boba Fett",,,3.99,4.99,5.99,,,"",1,,,
"5001267-1","Gear","Storage",2014,"8 stud Yellow Storage Brick",,,29.99,,,,,"",1,,,
"5001621-1","Star Wars","Episode V",2013,"Han Solo (Hoth)",1,5,,,,,673419200127,"",3,4.0500,4.0000,
"5001622-1","Promotional","LEGO brand stores",2013,"LEGO store employee",1,5,,,,,673419200134,"",2,3.2900,5.0000,
"5001623-1","DC Comics Super Heroes","DC Extended Universe",2013,"Jor-El",1,5,,,,,673419200141,"",1,10.5900,7.9400,
"5002126-1","DC Comics Super Heroes","Justice League",2014,"Martian Manhunter ",1,4,0,0,,,,"",1,6.7500,,
"5002127-1","Teenage Mutant Ninja Turtles","Promotional",2014,"Flashback Shredder",1,6,,,,,673419217316,"",1,7.0100,,
"5002136-1","City","Arctic",2014,"Arctic Accessory Set",,27,,,,,,"",1,5.1400,,
"5002145-1","Marvel Super Heroes","Guardians of the Galaxy",2014,"Rocket Raccoon",1,13,4.99,4.99,,,,"",2,5.8500,5.0000,
"5002203-1","The LEGO Movie","Promotional",2014,"Radio DJ Robot",1,4,,,,,673419220989,"",3,9.1200,9.9500,
"5002812-1","Space","Classic",2014,"Classic Spaceman Minifigure",2,19,,,,,673419218757,"",1,5.0000,7.0000,
"5002941-1","Bionicle","Packs",2015,"Hero Pack",,9,0.01,,,,,"",1,1.1900,0.2500,
"5003082-1","Pirates","Classic",2015,"Classic Pirate Minifigure",1,24,,,,,673419241892,"",1,7.0000,11.8100,
"5003565-1","Gear","Storage",2014,"1 stud Blue Storage Brick",,,9.99,,,,,"",2,,,
"5003566-1","Gear","Storage",2014,"1 stud Red Storage Brick",,,9.99,,,,,"",2,,,
"5004390-1","Nexo Knights","Miscellaneous",2016,"King's Guard",1,5,,,,,,"",1,2.8200,,
"5004419-1","Castle","",2016,"Classic Knights Minifigure",1,47,,,,,673419258371,"",1,5.2900,,
"5004933-1","Education","",2017,"Build to Learn",,,,,,,,"",1,,,
"5004936-1","Promotional","Minifigure",2017,"Iconic Cave",,11,,,,,,"",1,7.9900,,







